title,authors,groups,keywords,topics,abstract,Text,Clean_Text,Cluster,TSNE-1,TSNE-2
Learning Word Representation Considering Proximity and Ambiguity,"Lin Qiu, Yong Cao, Zaiqing Nie and Yong Rui","AI and the Web (AIW)
Machine Learning Applications (MLA)
NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)","word proximity
word ambiguity
neural networks","AIW: Knowledge acquisition from the web
AIW: Machine learning and the web
MLA: Applications of Unsupervised Learning
NLPKR: Natural Language Processing (General/Other)
NLPML: Natural Language Processing (General/Other)
NMLA: Neural Networks/Deep Learning","Distributed representations of words (aka word embedding) have been proven helpful in solving NLP tasks. Training distributed representations of words with neural networks has received much attention of late. Especially, the most recent work on word embedding, the Continuous Bag-of-Words (CBOW) model and the Continuous Skip-gram (Skip-gram) model proposed by Google, shows very impressive results by significantly speeding up the training process to enable word representation learning from very large-scale data. However, both CBOW and Skip-gram do not pay enough attention to the word proximity in terms of model or the word ambiguity in terms of linguistics. In this paper, we propose Proximity-Ambiguity Sensitive (PAS) models (i.e. PAS CBOW and PAS Skip-gram) for producing high quality distributed representations of words considering both word proximity and ambiguity. From the model perspective, we introduce proximity weights as parameters to be learned in PAS CBOW and used in PAS Skip-gram. By better modeling word proximity, we reveal the real strength of the pooling-structured neural networks in word representation learning. The proximity-sensitive pooling layer can also be applied to other neural network applications that employ pooling layers. From the linguistics perspective, we train multiple representation vectors per word. Each representation vector corresponds to a particular sense of the word. By using PAS models, we achieved a maximum accuracy increase of 16.9% over the state-of-the-art models on the word representation test set.","Learning Word Representation Considering Proximity and Ambiguity Distributed representations of words (aka word embedding) have been proven helpful in solving NLP tasks. Training distributed representations of words with neural networks has received much attention of late. Especially, the most recent work on word embedding, the Continuous Bag-of-Words (CBOW) model and the Continuous Skip-gram (Skip-gram) model proposed by Google, shows very impressive results by significantly speeding up the training process to enable word representation learning from very large-scale data. However, both CBOW and Skip-gram do not pay enough attention to the word proximity in terms of model or the word ambiguity in terms of linguistics. In this paper, we propose Proximity-Ambiguity Sensitive (PAS) models (i.e. PAS CBOW and PAS Skip-gram) for producing high quality distributed representations of words considering both word proximity and ambiguity. From the model perspective, we introduce proximity weights as parameters to be learned in PAS CBOW and used in PAS Skip-gram. By better modeling word proximity, we reveal the real strength of the pooling-structured neural networks in word representation learning. The proximity-sensitive pooling layer can also be applied to other neural network applications that employ pooling layers. From the linguistics perspective, we train multiple representation vectors per word. Each representation vector corresponds to a particular sense of the word. By using PAS models, we achieved a maximum accuracy increase of 16.9% over the state-of-the-art models on the word representation test set. word proximity
word ambiguity
neural networks",learn word represent consid proxim ambigu distribut represent word aka word embed proven help solv nlp task train distribut represent word neural network receiv much attent late especi recent work word embed continu bagofword cbow model continu skipgram skipgram model propos googl show impress result signific speed train process enabl word represent learn largescal data howev cbow skipgram pay enough attent word proxim term model word ambigu term linguist paper propos proximityambigu sensit pas model ie pas cbow pas skipgram produc high qualiti distribut represent word consid word proxim ambigu model perspect introduc proxim weight paramet learn pas cbow use pas skipgram better model word proxim reveal real strength poolingstructur neural network word represent learn proximitysensit pool layer also appli neural network applic employ pool layer linguist perspect train multipl represent vector per word represent vector correspond particular sens word use pas model achiev maximum accuraci increas 169 stateoftheart model word represent test set word proxim word ambigu neural network,1,11.378169,-9.041464
Planning as Model Checking in Hybrid Domains,"Sergiy Bogomolov, Daniele Magazzeni, Andreas Podelski and Martin Wehrle",Planning and Scheduling (PS),"Planning in Mixed Discrete-Continuous Domains
PDDL+
Model Checking
Hybrid Automata
Planning as Model Checking","PS: Mixed Discrete/Continuous Planning
PS: Temporal Planning","Planning in hybrid domains is an important and challenging task, and
various planning algorithms have been proposed in the last years.
From an abstract point of view, hybrid planning domains are based on
hybrid automata, which have been studied intensively in the model
checking community. In particular, powerful model checking
algorithms and tools have emerged for this formalism. However,
despite the quest for more scalable planning approaches, model
checking algorithms have not been applied to planning in hybrid
domains so far.
                                      
In this paper, we make a first step in bridging the gap between
these two worlds. We provide a formal translation scheme from PDDL+
to the standard formalism of hybrid automata, as a solid basis for
using hybrid system model-checking tools for dealing with hybrid
planning domains. As a case study, we use the SpaceEx model checker,
showing how we can address PDDL+ domains that are out of the scope
of state-of-the-art planners.","Planning as Model Checking in Hybrid Domains Planning in hybrid domains is an important and challenging task, and
various planning algorithms have been proposed in the last years.
From an abstract point of view, hybrid planning domains are based on
hybrid automata, which have been studied intensively in the model
checking community. In particular, powerful model checking
algorithms and tools have emerged for this formalism. However,
despite the quest for more scalable planning approaches, model
checking algorithms have not been applied to planning in hybrid
domains so far.
                                      
In this paper, we make a first step in bridging the gap between
these two worlds. We provide a formal translation scheme from PDDL+
to the standard formalism of hybrid automata, as a solid basis for
using hybrid system model-checking tools for dealing with hybrid
planning domains. As a case study, we use the SpaceEx model checker,
showing how we can address PDDL+ domains that are out of the scope
of state-of-the-art planners. Planning in Mixed Discrete-Continuous Domains
PDDL+
Model Checking
Hybrid Automata
Planning as Model Checking",plan model check hybrid domain plan hybrid domain import challeng task various plan algorithm propos last year abstract point view hybrid plan domain base hybrid automata studi intens model check communiti particular power model check algorithm tool emerg formal howev despit quest scalabl plan approach model check algorithm appli plan hybrid domain far paper make first step bridg gap two world provid formal translat scheme pddl standard formal hybrid automata solid basi use hybrid system modelcheck tool deal hybrid plan domain case studi use spaceex model checker show address pddl domain scope stateoftheart planner plan mix discretecontinu domain pddl model check hybrid automata plan model check,3,-2.6238809,16.224546
Novel Density-based Clustering Algorithms for Uncertain Data,"Xianchao Zhang, Han Liu, Xiaotong Zhang and Xinyue Liu",Novel Machine Learning Algorithms (NMLA),"Uncertain data
Clustering
Density-based algorithm","NMLA: Clustering
RU: Uncertainty in AI (General/Other)","Density-based techniques seem promising for handling data
uncertainty in uncertain data clustering. Nevertheless, some
issues have not been addressed well in existing algorithms.
In this paper, we firstly propose a novel density-based uncertain
data clustering algorithm, which improves upon existing
algorithms from the following two aspects: (1) it employs
an exact method to compute the probability that the distance
between two uncertain objects is less than or equal to
a boundary value, instead of the sampling-based method in
previous work; (2) it introduces new definitions of core object
probability and direct reachability probability, thus reducing
the complexity and avoiding sampling. We then further improve
the algorithm by using a novel assignment strategy to
ensure that every object will be assigned to the most appropriate
cluster. Experimental results show the superiority of
our proposed algorithms over existing ones.","Novel Density-based Clustering Algorithms for Uncertain Data Density-based techniques seem promising for handling data
uncertainty in uncertain data clustering. Nevertheless, some
issues have not been addressed well in existing algorithms.
In this paper, we firstly propose a novel density-based uncertain
data clustering algorithm, which improves upon existing
algorithms from the following two aspects: (1) it employs
an exact method to compute the probability that the distance
between two uncertain objects is less than or equal to
a boundary value, instead of the sampling-based method in
previous work; (2) it introduces new definitions of core object
probability and direct reachability probability, thus reducing
the complexity and avoiding sampling. We then further improve
the algorithm by using a novel assignment strategy to
ensure that every object will be assigned to the most appropriate
cluster. Experimental results show the superiority of
our proposed algorithms over existing ones. Uncertain data
Clustering
Density-based algorithm",novel densitybas cluster algorithm uncertain data densitybas techniqu seem promis handl data uncertainti uncertain data cluster nevertheless issu address well exist algorithm paper first propos novel densitybas uncertain data cluster algorithm improv upon exist algorithm follow two aspect 1 employ exact method comput probabl distanc two uncertain object less equal boundari valu instead samplingbas method previous work 2 introduc new definit core object probabl direct reachabl probabl thus reduc complex avoid sampl improv algorithm use novel assign strategi ensur everi object assign appropri cluster experiment result show superior propos algorithm exist one uncertain data cluster densitybas algorithm,7,-4.799061,-18.091793
Parallel Restarted Search,"Andre Cire, Serdar Kadioglu and Meinolf Sellmann",Heuristic Search and Optimization (HSO),"Restarts
Parallel Search
Deterministic Parallelization",HSO: Search (General/Other),"We consider the problem of parallelizing restarted backtrack search. With few notable exceptions, most commercial and academic constraint programming solvers do not learn no-goods during search. Depending on the branching heuristics used, this means that there are little to no side-effects between restarts, making them an excellent target for parallelization. We develop a simple technique for parallelizing restarted search deterministically and demonstrate experimentally that we can achieve near-linear speed-ups in practice.","Parallel Restarted Search We consider the problem of parallelizing restarted backtrack search. With few notable exceptions, most commercial and academic constraint programming solvers do not learn no-goods during search. Depending on the branching heuristics used, this means that there are little to no side-effects between restarts, making them an excellent target for parallelization. We develop a simple technique for parallelizing restarted search deterministically and demonstrate experimentally that we can achieve near-linear speed-ups in practice. Restarts
Parallel Search
Deterministic Parallelization",parallel restart search consid problem parallel restart backtrack search notabl except commerci academ constraint program solver learn nogood search depend branch heurist use mean littl sideeffect restart make excel target parallel develop simpl techniqu parallel restart search determinist demonstr experiment achiev nearlinear speedup practic restart parallel search determinist parallel,5,-11.712083,5.7070513
MaxSAT Portfolio,"Carlos Ansotegui-Gil, Yuri Malitsky and Meinolf Sellmann",Search and Constraint Satisfaction (SCS),"MaxSAT
Algorithm Portfolios
Algorithm Tuning",SCS: Satisfiability (General/Other),"Our objective is to boost the state-of-the-art performance in MaxSAT solving. To this end, we employ the instance-specific algorithm configurator ISAC and improve it by combining it with the latest in portfolio technology. Experimental results on SAT show that this combination marks a significant step forward in our ability to tune algorithms instance-specifically. We then apply the new methodology to a number of MaxSAT problem domains and show that the resulting solvers consistently outperform the best existing solvers on the respective problem families. In fact, the solvers presented here were independently evaluated at the 2013 MaxSAT Evaluation where they won six out of eleven categories.","MaxSAT Portfolio Our objective is to boost the state-of-the-art performance in MaxSAT solving. To this end, we employ the instance-specific algorithm configurator ISAC and improve it by combining it with the latest in portfolio technology. Experimental results on SAT show that this combination marks a significant step forward in our ability to tune algorithms instance-specifically. We then apply the new methodology to a number of MaxSAT problem domains and show that the resulting solvers consistently outperform the best existing solvers on the respective problem families. In fact, the solvers presented here were independently evaluated at the 2013 MaxSAT Evaluation where they won six out of eleven categories. MaxSAT
Algorithm Portfolios
Algorithm Tuning",maxsat portfolio object boost stateoftheart perform maxsat solv end employ instancespecif algorithm configur isac improv combin latest portfolio technolog experiment result sat show combin mark signific step forward abil tune algorithm instancespecif appli new methodolog number maxsat problem domain show result solver consist outperform best exist solver respect problem famili fact solver present independ evalu 2013 maxsat evalu six eleven categori maxsat algorithm portfolio algorithm tune,4,-10.492063,16.823309
Large-Scale Supervised Multimodal Hashing with Semantic Correlation Maximization,Dongqing Zhang and Wu-Jun Li,"Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","Multimodal Hashing
Cross-view Similarity Search
Image Retrieval
Scalability","NMLA: Big Data / Scalability
NMLA: Supervised Learning (Other)
VIS: Image and Video Retrieval","Due to its low storage cost and fast query speed, hashing has been widely adopted for similarity search in multimedia data. In particular, more and more attentions have been payed to multimodal hashing for search in multimedia data with multiple modalities, such as images with tags. Typically, supervised information of semantic
labels is also available for the data points in many real applications. Hence, many supervised multimodal hashing~(SMH) methods have been proposed to utilize such semantic labels to further improve the search accuracy. However, the training time complexity of most existing SMH methods is too high, which makes them unscalable to large-scale datasets. In this paper, a novel SMH method, called semantic
correlation maximization~(SCM), is proposed to seamlessly integrate semantic labels into the hashing learning procedure for large-scale data modeling. Experimental results on two real-world datasets show
that SCM can significantly outperform the state-of-the-art SMH methods, in terms of both accuracy and scalability.","Large-Scale Supervised Multimodal Hashing with Semantic Correlation Maximization Due to its low storage cost and fast query speed, hashing has been widely adopted for similarity search in multimedia data. In particular, more and more attentions have been payed to multimodal hashing for search in multimedia data with multiple modalities, such as images with tags. Typically, supervised information of semantic
labels is also available for the data points in many real applications. Hence, many supervised multimodal hashing~(SMH) methods have been proposed to utilize such semantic labels to further improve the search accuracy. However, the training time complexity of most existing SMH methods is too high, which makes them unscalable to large-scale datasets. In this paper, a novel SMH method, called semantic
correlation maximization~(SCM), is proposed to seamlessly integrate semantic labels into the hashing learning procedure for large-scale data modeling. Experimental results on two real-world datasets show
that SCM can significantly outperform the state-of-the-art SMH methods, in terms of both accuracy and scalability. Multimodal Hashing
Cross-view Similarity Search
Image Retrieval
Scalability",largescal supervis multimod hash semant correl maxim due low storag cost fast queri speed hash wide adopt similar search multimedia data particular attent pay multimod hash search multimedia data multipl modal imag tag typic supervis inform semant label also avail data point mani real applic henc mani supervis multimod hashingsmh method propos util semant label improv search accuraci howev train time complex exist smh method high make unscal largescal dataset paper novel smh method call semant correl maximizationscm propos seamless integr semant label hash learn procedur largescal data model experiment result two realworld dataset show scm signific outperform stateoftheart smh method term accuraci scalabl multimod hash crossview similar search imag retriev scalabl,6,-21.509247,-7.8379107
Role-aware Conformity Modeling and Analysis in Social Networks,"Jing Zhang, Jie Tang, Honglei Zhuang, Cane Leung and Juanzi Li","Applications (APP)
Novel Machine Learning Algorithms (NMLA)","social conformity
role base conformity
probabilistic model","APP: Computational Social Science
NMLA: Data Mining and Knowledge Discovery","Conformity is the inclination of a person to be influenced by others. In this paper, we study how the conformity tendency of a person changes with her {\em role}, as defined by her structural properties in a social network. We first formalize conformity using a utility function based on the conformity theory from social psychology, and validate the proposed utility function by proving the existence of Nash Equilibria when all users in a network behave according to it. We then extend and incorporate the utility function into a probabilistic topic model, called the Role-Conformity Model (RCM), for modeling user behaviors under the effect of conformity. We apply the proposed RCM to several academic research networks, and discover that people with higher degree and lower clustering coefficient are more likely to conform to others. We also evaluate RCM through the task of word usage prediction in academic publications, and show significant improvements over the performance of baselines.","Role-aware Conformity Modeling and Analysis in Social Networks Conformity is the inclination of a person to be influenced by others. In this paper, we study how the conformity tendency of a person changes with her {\em role}, as defined by her structural properties in a social network. We first formalize conformity using a utility function based on the conformity theory from social psychology, and validate the proposed utility function by proving the existence of Nash Equilibria when all users in a network behave according to it. We then extend and incorporate the utility function into a probabilistic topic model, called the Role-Conformity Model (RCM), for modeling user behaviors under the effect of conformity. We apply the proposed RCM to several academic research networks, and discover that people with higher degree and lower clustering coefficient are more likely to conform to others. We also evaluate RCM through the task of word usage prediction in academic publications, and show significant improvements over the performance of baselines. social conformity
role base conformity
probabilistic model",roleawar conform model analysi social network conform inclin person influenc other paper studi conform tendenc person chang em role defin structur properti social network first formal conform use util function base conform theori social psycholog valid propos util function prove exist nash equilibria user network behav accord extend incorpor util function probabilist topic model call roleconform model rcm model user behavior effect conform appli propos rcm sever academ research network discov peopl higher degre lower cluster coeffici like conform other also evalu rcm task word usag predict academ public show signific improv perform baselin social conform role base conform probabilist model,0,12.083142,5.43673
Data Quality in Ontology-based Data Access: The Case of Consistency,Marco Console and Maurizio Lenzerini,Knowledge Representation and Reasoning (KRR),"Ontology-based data access
Description Logics
Data Quality
Data Management","APP: Other Applications
KRR: Ontologies
KRR: Description Logics
KRR: Knowledge Representation (General/Other)","Ontology-based data access (OBDA) is a new paradigm aiming at
  accessing and managing data by means of an ontology, i.e., a
  conceptual representation of the domain of interest in the
  underlying information system. In the last years, this new paradigm
  has been used for providing users with abstract (independent from
  technological and system-oriented aspects), effective, and
  reasoning-intensive mechanisms for querying the data residing at the
  information system sources. In this paper we argue that OBDA,
  besides querying data, provides the right principles for devising a
  formal approach to data quality. In particular, we concentrate on
  one of the most important dimensions considered both in the
  literature and in the practice of data quality, namely
  consistency. We define a general framework for data consistency in
  OBDA, and present algorithms and complexity analysis for several
  relevant tasks related to the problem of checking data quality under
  this dimension, both at the extensional level (content of the data
  sources), and at the intensional level (schema of the data sources).","Data Quality in Ontology-based Data Access: The Case of Consistency Ontology-based data access (OBDA) is a new paradigm aiming at
  accessing and managing data by means of an ontology, i.e., a
  conceptual representation of the domain of interest in the
  underlying information system. In the last years, this new paradigm
  has been used for providing users with abstract (independent from
  technological and system-oriented aspects), effective, and
  reasoning-intensive mechanisms for querying the data residing at the
  information system sources. In this paper we argue that OBDA,
  besides querying data, provides the right principles for devising a
  formal approach to data quality. In particular, we concentrate on
  one of the most important dimensions considered both in the
  literature and in the practice of data quality, namely
  consistency. We define a general framework for data consistency in
  OBDA, and present algorithms and complexity analysis for several
  relevant tasks related to the problem of checking data quality under
  this dimension, both at the extensional level (content of the data
  sources), and at the intensional level (schema of the data sources). Ontology-based data access
Description Logics
Data Quality
Data Management",data qualiti ontologybas data access case consist ontologybas data access obda new paradigm aim access manag data mean ontolog ie conceptu represent domain interest under inform system last year new paradigm use provid user abstract independ technolog systemori aspect effect reasoningintens mechan queri data resid inform system sourc paper argu obda besid queri data provid right principl devis formal approach data qualiti particular concentr one import dimens consid literatur practic data qualiti name consist defin general framework data consist obda present algorithm complex analysi sever relev task relat problem check data qualiti dimens extension level content data sourc intension level schema data sourc ontologybas data access descript logic data qualiti data manag,6,-10.809305,-3.6428583
Sparse Compositional Metric Learning,"Yuan Shi, Aurélien Bellet and Fei Sha",Novel Machine Learning Algorithms (NMLA),"Metric Learning
Sparse Methods
Local Metric Learning
Multi-task Learning","NMLA: Classification
NMLA: Dimension Reduction/Feature Selection
NMLA: Transfer, Adaptation, Multitask Learning","We propose a new approach for metric learning by framing it as learning a sparse combination of locally discriminative metrics that are inexpensive to generate from the training data. This flexible framework allows us to naturally derive formulations for global, multi-task and local metric learning. These new algorithms have several advantages over existing methods in the literature: a much smaller number of parameters to be estimated and a principled way to generalize learned metrics to new testing data points. To analyze the approach theoretically, we derive a generalization bound that justifies the sparse combination. Empirically, we evaluate our algorithms on several datasets against state-of-the-art metric learning methods. The results are consistent with our theoretical findings and demonstrate the superiority of our approach in terms of classification performance and scalability.","Sparse Compositional Metric Learning We propose a new approach for metric learning by framing it as learning a sparse combination of locally discriminative metrics that are inexpensive to generate from the training data. This flexible framework allows us to naturally derive formulations for global, multi-task and local metric learning. These new algorithms have several advantages over existing methods in the literature: a much smaller number of parameters to be estimated and a principled way to generalize learned metrics to new testing data points. To analyze the approach theoretically, we derive a generalization bound that justifies the sparse combination. Empirically, we evaluate our algorithms on several datasets against state-of-the-art metric learning methods. The results are consistent with our theoretical findings and demonstrate the superiority of our approach in terms of classification performance and scalability. Metric Learning
Sparse Methods
Local Metric Learning
Multi-task Learning",spars composit metric learn propos new approach metric learn frame learn spars combin local discrimin metric inexpens generat train data flexibl framework allow us natur deriv formul global multitask local metric learn new algorithm sever advantag exist method literatur much smaller number paramet estim principl way general learn metric new test data point analyz approach theoret deriv general bound justifi spars combin empir evalu algorithm sever dataset stateoftheart metric learn method result consist theoret find demonstr superior approach term classif perform scalabl metric learn spars method local metric learn multitask learn,4,1.3456378,-15.419342
Improving Context and Category Matching for Entity Search,"Yueguo Chen, Lexi Gao, Shuming Shi, Xiaoyong Du and Ji-Rong Wen",AI and the Web (AIW),"entity search
language model
category matching
context matching
result re-ranking","AIW: Enhancing web search and information retrieval
AIW: Question answering on the web","Entity search is to retrieve a ranked list of named entities of target types to a given query. In this paper, we propose an approach of entity search by formalizing both context matching and category matching. In addition, we propose a result re-ranking strategy that can be easily adapted to achieve a hybrid of two context matching strategies. Experiments on the INEX 2009 entity ranking task show that the proposed approach achieves a significant improvement of the entity search performance (xinfAP from 0.27 to 0.39) over the existing solutions.","Improving Context and Category Matching for Entity Search Entity search is to retrieve a ranked list of named entities of target types to a given query. In this paper, we propose an approach of entity search by formalizing both context matching and category matching. In addition, we propose a result re-ranking strategy that can be easily adapted to achieve a hybrid of two context matching strategies. Experiments on the INEX 2009 entity ranking task show that the proposed approach achieves a significant improvement of the entity search performance (xinfAP from 0.27 to 0.39) over the existing solutions. entity search
language model
category matching
context matching
result re-ranking",improv context categori match entiti search entiti search retriev rank list name entiti target type given queri paper propos approach entiti search formal context match categori match addit propos result rerank strategi easili adapt achiev hybrid two context match strategi experi inex 2009 entiti rank task show propos approach achiev signific improv entiti search perform xinfap 027 039 exist solut entiti search languag model categori match context match result rerank,0,-0.3869883,5.913342
ARIA: Asymmetry Resistant Instance Alignment,Sanghoon Lee and Seung-Won Hwang,AI and the Web (AIW),"instance alignment
entity matching
resolution
deduplication
linkage
linked data","AIW: AI for web services: semantic descriptions, planning, matching, and coordination","This paper studies the problem of instance alignment between knowledge bases (KBs). Existing approaches, exploiting the ""symmetry"" of structure and information across KBs, suffer in the presence of asymmetry, which is frequent as KBs are independently built. Specifically, we observe three types of asymmetry -- concept, feature, and structural asymmetry. The goal of this paper is to identify key techniques for overcoming each type of asymmetry, then build them into a framework that robustly aligns matches over asymmetry. In particular, we propose an Asymmetry-Resistant Instance Alignment framework (ARIA), implementing two-phased blocking methods considering concept and feature asymmetry, with a novel similarity measure overcoming structural asymmetry. Our evaluation results validate that this framework outperforms state-of-the-arts in terms of both response time and accuracy, by increasing 18% in precision and 2% in recall in matching large-scale real-life KBs.","ARIA: Asymmetry Resistant Instance Alignment This paper studies the problem of instance alignment between knowledge bases (KBs). Existing approaches, exploiting the ""symmetry"" of structure and information across KBs, suffer in the presence of asymmetry, which is frequent as KBs are independently built. Specifically, we observe three types of asymmetry -- concept, feature, and structural asymmetry. The goal of this paper is to identify key techniques for overcoming each type of asymmetry, then build them into a framework that robustly aligns matches over asymmetry. In particular, we propose an Asymmetry-Resistant Instance Alignment framework (ARIA), implementing two-phased blocking methods considering concept and feature asymmetry, with a novel similarity measure overcoming structural asymmetry. Our evaluation results validate that this framework outperforms state-of-the-arts in terms of both response time and accuracy, by increasing 18% in precision and 2% in recall in matching large-scale real-life KBs. instance alignment
entity matching
resolution
deduplication
linkage
linked data",aria asymmetri resist instanc align paper studi problem instanc align knowledg base kbs exist approach exploit symmetri structur inform across kbs suffer presenc asymmetri frequent kbs independ built specif observ three type asymmetri concept featur structur asymmetri goal paper identifi key techniqu overcom type asymmetri build framework robust align match asymmetri particular propos asymmetryresist instanc align framework aria implement twophas block method consid concept featur asymmetri novel similar measur overcom structur asymmetri evalu result valid framework outperform stateoftheart term respons time accuraci increas 18 precis 2 recal match largescal reallif kbs instanc align entiti match resolut dedupl linkag link data,0,-0.61058134,0.109911166
Diagnosing Analogue Linear Systems Using Dynamic Topological Reconfiguration,Alexander Feldman and Gregory Provan,Knowledge Representation and Reasoning (KRR),"model-based diagnosis
analogue systems
modeling and analysis",KRR: Diagnosis and Abductive Reasoning,"Fault diagnosis of analogue linear systems is a challenging task and no fully
automated solution exists. Two challenges in this diagnosis task are the size of the search space that much be explored and the possibility of simulation instabilities introduced by particular fault classes. We study a novel algorithm that addresses both problems. This algorithm dynamically modifies the simulation model during  diagnosis by pruning parametrized components that cause discontinuity in the model. We provide a theoretical framework for predicting the speedups, which depends on the topology of the model. We empirically validate the theoretical predictions through extensive experimentation on a benchmark of circuits.","Diagnosing Analogue Linear Systems Using Dynamic Topological Reconfiguration Fault diagnosis of analogue linear systems is a challenging task and no fully
automated solution exists. Two challenges in this diagnosis task are the size of the search space that much be explored and the possibility of simulation instabilities introduced by particular fault classes. We study a novel algorithm that addresses both problems. This algorithm dynamically modifies the simulation model during  diagnosis by pruning parametrized components that cause discontinuity in the model. We provide a theoretical framework for predicting the speedups, which depends on the topology of the model. We empirically validate the theoretical predictions through extensive experimentation on a benchmark of circuits. model-based diagnosis
analogue systems
modeling and analysis",diagnos analogu linear system use dynam topolog reconfigur fault diagnosi analogu linear system challeng task fulli autom solut exist two challeng diagnosi task size search space much explor possibl simul instabl introduc particular fault class studi novel algorithm address problem algorithm dynam modifi simul model diagnosi prune parametr compon caus discontinu model provid theoret framework predict speedup depend topolog model empir valid theoret predict extens experiment benchmark circuit modelbas diagnosi analogu system model analysi,5,2.6227186,4.813128
Simpler Bounded Suboptimal Search,Matthew Hatem and Wheeler Ruml,Heuristic Search and Optimization (HSO),"bounded suboptimal search
distance estimates
additional heuristics
iterative deepening
implementation","HSO: Heuristic Search
HSO: Evaluation and Analysis (Search and Optimization)","It is commonly appreciated that solving search problems optimally can take too long. Bounded suboptimal search algorithms trade increased solution cost for reduced solving time.  Explicit Estimation Search (EES) is a recent state-of-the-art algorithm specifically designed for bounded suboptimal search.  Although it tends to expand fewer nodes than alternative algorithms, such as weighted A* (WA*), its per-node expansion overhead is much higher, causing it to sometimes take longer.  In this paper, we present simplified variants of EES (SEES) and an earlier algorithm, A*epsilon (SA*epsilon), that use different implementations of the same motivating ideas to significantly reduce search overhead and implementation complexity.  In an empirical evaluation, we find that SEES, like EES, outperforms classic bounded suboptimal search algorithms, such as WA*, on domains tested where distance-to-go estimates enable better search guidance.  We also confirm that, while SEES and SA*epsilon expand roughly the same number of nodes as their progenitors, they solve problems significantly faster and are much easier to implement.  This work widens the applicability of state-of the-art bounded suboptimal search by making it easier to deploy.","Simpler Bounded Suboptimal Search It is commonly appreciated that solving search problems optimally can take too long. Bounded suboptimal search algorithms trade increased solution cost for reduced solving time.  Explicit Estimation Search (EES) is a recent state-of-the-art algorithm specifically designed for bounded suboptimal search.  Although it tends to expand fewer nodes than alternative algorithms, such as weighted A* (WA*), its per-node expansion overhead is much higher, causing it to sometimes take longer.  In this paper, we present simplified variants of EES (SEES) and an earlier algorithm, A*epsilon (SA*epsilon), that use different implementations of the same motivating ideas to significantly reduce search overhead and implementation complexity.  In an empirical evaluation, we find that SEES, like EES, outperforms classic bounded suboptimal search algorithms, such as WA*, on domains tested where distance-to-go estimates enable better search guidance.  We also confirm that, while SEES and SA*epsilon expand roughly the same number of nodes as their progenitors, they solve problems significantly faster and are much easier to implement.  This work widens the applicability of state-of the-art bounded suboptimal search by making it easier to deploy. bounded suboptimal search
distance estimates
additional heuristics
iterative deepening
implementation",simpler bound suboptim search common appreci solv search problem optim take long bound suboptim search algorithm trade increas solut cost reduc solv time explicit estim search ee recent stateoftheart algorithm specif design bound suboptim search although tend expand fewer node altern algorithm weight wa pernod expans overhead much higher caus sometim take longer paper present simplifi variant ee see earlier algorithm aepsilon saepsilon use differ implement motiv idea signific reduc search overhead implement complex empir evalu find see like ee outperform classic bound suboptim search algorithm wa domain test distancetogo estim enabl better search guidanc also confirm see saepsilon expand rough number node progenitor solv problem signific faster much easier implement work widen applic stateof theart bound suboptim search make easier deploy bound suboptim search distanc estim addit heurist iter deepen implement,4,-13.6861,8.905909
PAC Rank Elicitation through Adaptive Sampling of Stochastic Pairwise Preferences,"Róbert Busa-Fekete, Balazs Szorenyi and Eyke Huellermeier",Novel Machine Learning Algorithms (NMLA),"Preference learning
Online learning
Ranking models
Rank elicitation
Sample complexity","NMLA: Online Learning
NMLA: Preferences/Ranking Learning","We introduce the problem of PAC rank elicitation, which consists of sorting a given set of options based on adaptive sampling of stochastic pairwise preferences. More specifically, the goal is to predict a ranking that is sufficiently close to a target order with high probability. We instantiate this setting with combinations of two different distance measures and ranking procedures for determining the target order. For these instantiations, we devise efficient sampling strategies and analyze the corresponding sample complexity. We also present first experiments to illustrate the practical performance of our methods.","PAC Rank Elicitation through Adaptive Sampling of Stochastic Pairwise Preferences We introduce the problem of PAC rank elicitation, which consists of sorting a given set of options based on adaptive sampling of stochastic pairwise preferences. More specifically, the goal is to predict a ranking that is sufficiently close to a target order with high probability. We instantiate this setting with combinations of two different distance measures and ranking procedures for determining the target order. For these instantiations, we devise efficient sampling strategies and analyze the corresponding sample complexity. We also present first experiments to illustrate the practical performance of our methods. Preference learning
Online learning
Ranking models
Rank elicitation
Sample complexity",pac rank elicit adapt sampl stochast pairwis prefer introduc problem pac rank elicit consist sort given set option base adapt sampl stochast pairwis prefer specif goal predict rank suffici close target order high probabl instanti set combin two differ distanc measur rank procedur determin target order instanti devis effici sampl strategi analyz correspond sampl complex also present first experi illustr practic perform method prefer learn onlin learn rank model rank elicit sampl complex,9,9.0400915,7.3713098
